sentence_1,sentence_2,similarity,split
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,3.0,train
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,3.0,train
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,2.0,test
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,3.0,test
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,5.0,train
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1.0,test
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,2.65,test
பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,இது ஒரு மாயையான புகைப்படம்.,0.0,test
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,1.65,train
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,1.65,test
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,1.65,train
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.65,test
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1.35,train
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.35,test
சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,இது ஒரு மாயையான புகைப்படம்.,0.0,test
ஒருவர் ஈருருளியில் பயணிக்கின்றார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,2.35,test
ஒருவர் ஈருருளியில் பயணிக்கின்றார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,2.65,train
ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,3.0,train
ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1.65,train
ஒருவர் ஈருருளியில் பயணிக்கின்றார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,2.0,train
ஒருவர் ஈருருளியில் பயணிக்கின்றார்,இது ஒரு மாயையான புகைப்படம்.,0.0,train
ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,2.35,train
ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,1.65,test
ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.65,test
ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,2.0,test
ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,இது ஒரு மாயையான புகைப்படம்.,0.0,train
சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,4.35,train
சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1.0,test
சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,2.65,train
