language,sentence_1,sentence_2,similarity,rouge_l,bleu_1
english,A plane is taking off.,An air plane is taking off.,5.0,0.7272727272727272,0.8
english,A man is playing a large flute.,A man is playing a flute.,3.8,0.923076923076923,0.8571428571428571
english,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.8,0.7368421052631577,0.7777777777777778
english,Three men are playing chess.,Two men are playing chess.,2.6,0.8000000000000002,0.8
english,Some men are fighting.,Two men are fighting.,4.25,0.75,0.75
english,A man is smoking.,A man is skating.,0.5,0.75,0.75
english,The man is playing the piano.,The man is playing the guitar.,1.6,0.8333333333333334,0.8333333333333334
english,The man hit the other man with a stick.,The man spanked the other man with a stick.,4.2,0.8888888888888888,0.8888888888888888
english,A man is running on the road.,A panda dog is running on the road.,1.667,0.7999999999999999,0.8571428571428571
english,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.75,0.6666666666666666,0.7
english,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.8,0.7142857142857143,0.7142857142857143
english,A man pours oil into a pot.,A man pours wine in a pot.,3.2,0.7142857142857143,0.7142857142857143
english,A panda is sliding down a slide.,A panda slides down a slide.,4.6,0.7692307692307692,0.7142857142857143
english,A woman is eating something.,A woman is eating meat.,3.0,0.8000000000000002,0.8
english,The boy fell off his bike.,A boy falls off his bike.,4.8,0.6666666666666666,0.6666666666666666
english,The woman is playing the flute.,A woman is playing a flute.,5.0,0.6666666666666666,0.6666666666666666
english,A rabbit is running from an eagle.,A hare is running from a eagle.,4.2,0.7142857142857143,0.7142857142857143
english,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.2,0.75,0.75
english,A girl is flying a kite.,A girl running is flying a kite.,4.0,0.923076923076923,1.0
english,A man is slicing a bun.,A man is slicing an onion.,2.4,0.6666666666666666,0.6666666666666666
english,A lion is playing with people.,A lion is playing with two men.,3.4,0.7692307692307692,0.8333333333333334
