sentence_1,sentence_2,similarity,split
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි,2.0,test
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි,මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි ,2.35,train
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි,3.0,test
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි ,1.0,train
මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි,මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි ,2.0,train
මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි,1.0,test
මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි ,1.35,test
මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි ,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි,1.0,test
මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි ,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි ,1.0,train
ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි ,2.0,train
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි,මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි,3.35,test
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි,මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි ,4.35,train
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි,පුද්ගලයෙක්  මෝටර් රථයක් පිරිසිදු කරයි,2.65,test
