model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
sentence-transformers/LaBSE,english,0,baseline_mean,0,none,0.001,0.5447162875406594,0.5117059980392578,5749,1379
sentence-transformers/LaBSE,english,0,sif_only,0,none,0.001,0.6592444679859862,0.6416517257203945,5749,1379
sentence-transformers/LaBSE,english,0,sif_abtt_fixed,10,fixed,0.001,0.6741091667865705,0.6701929546065495,5749,1379
sentence-transformers/LaBSE,english,0,sif_abtt_optimal,10,train_sweep,0.001,0.6741091667865705,0.6701929546065495,5749,1379
sentence-transformers/LaBSE,english,0,whitening,0,none,0.001,0.21216867348514695,0.23234989443893286,5749,1379
sentence-transformers/LaBSE,english,0,variance_filter,0,none,0.001,0.5420258749784903,0.502975126176429,5749,1379
sentence-transformers/LaBSE,english,1,baseline_mean,0,none,0.001,0.5290515937573924,0.49679700013844036,5749,1379
sentence-transformers/LaBSE,english,1,sif_only,0,none,0.001,0.6492819881535858,0.6270523065610011,5749,1379
sentence-transformers/LaBSE,english,1,sif_abtt_fixed,10,fixed,0.001,0.6851369669346343,0.6730844770074659,5749,1379
sentence-transformers/LaBSE,english,1,sif_abtt_optimal,10,train_sweep,0.001,0.6851369669346343,0.6730844770074659,5749,1379
sentence-transformers/LaBSE,english,1,whitening,0,none,0.001,0.21332062882116526,0.16172583333799415,5749,1379
sentence-transformers/LaBSE,english,1,variance_filter,0,none,0.001,0.5331407850633488,0.5003718317058672,5749,1379
sentence-transformers/LaBSE,english,2,baseline_mean,0,none,0.001,0.5367661627908162,0.5204191603808319,5749,1379
sentence-transformers/LaBSE,english,2,sif_only,0,none,0.001,0.6377421003997528,0.6271804705180126,5749,1379
sentence-transformers/LaBSE,english,2,sif_abtt_fixed,10,fixed,0.001,0.6811658988227173,0.6726060290132758,5749,1379
sentence-transformers/LaBSE,english,2,sif_abtt_optimal,10,train_sweep,0.001,0.6811658988227173,0.6726060290132758,5749,1379
sentence-transformers/LaBSE,english,2,whitening,0,none,0.001,0.14942488372437568,0.13641623438763142,5749,1379
sentence-transformers/LaBSE,english,2,variance_filter,0,none,0.001,0.5423417044090222,0.526382893777085,5749,1379
sentence-transformers/LaBSE,english,3,baseline_mean,0,none,0.001,0.5539855012414051,0.5407814171902586,5749,1379
sentence-transformers/LaBSE,english,3,sif_only,0,none,0.001,0.6696315622329898,0.6702970500655032,5749,1379
sentence-transformers/LaBSE,english,3,sif_abtt_fixed,10,fixed,0.001,0.6869852401714022,0.6744615425242061,5749,1379
sentence-transformers/LaBSE,english,3,sif_abtt_optimal,10,train_sweep,0.001,0.6869852401714022,0.6744615425242061,5749,1379
sentence-transformers/LaBSE,english,3,whitening,0,none,0.001,0.18903187119870216,0.22412074424937314,5749,1379
sentence-transformers/LaBSE,english,3,variance_filter,0,none,0.001,0.558039567526617,0.5438975461578216,5749,1379
sentence-transformers/LaBSE,english,4,baseline_mean,0,none,0.001,0.5599205212068918,0.5562992620636191,5749,1379
sentence-transformers/LaBSE,english,4,sif_only,0,none,0.001,0.6741029212737812,0.6817800531510761,5749,1379
sentence-transformers/LaBSE,english,4,sif_abtt_fixed,10,fixed,0.001,0.6919783214329267,0.6887572815344961,5749,1379
sentence-transformers/LaBSE,english,4,sif_abtt_optimal,10,train_sweep,0.001,0.6919783214329267,0.6887572815344961,5749,1379
sentence-transformers/LaBSE,english,4,whitening,0,none,0.001,0.6495383643876352,0.630698069984186,5749,1379
sentence-transformers/LaBSE,english,4,variance_filter,0,none,0.001,0.5687697434614819,0.5624724103769039,5749,1379
sentence-transformers/LaBSE,english,5,baseline_mean,0,none,0.001,0.5430072010055275,0.5429983074765834,5749,1379
sentence-transformers/LaBSE,english,5,sif_only,0,none,0.001,0.6665236060292183,0.6778567401939238,5749,1379
sentence-transformers/LaBSE,english,5,sif_abtt_fixed,10,fixed,0.001,0.6860710997526128,0.6841603882764948,5749,1379
sentence-transformers/LaBSE,english,5,sif_abtt_optimal,10,train_sweep,0.001,0.6860710997526128,0.6841603882764948,5749,1379
sentence-transformers/LaBSE,english,5,whitening,0,none,0.001,0.15113044133896494,0.1516175925313086,5749,1379
sentence-transformers/LaBSE,english,5,variance_filter,0,none,0.001,0.5537610704673962,0.5520149002792754,5749,1379
sentence-transformers/LaBSE,english,6,baseline_mean,0,none,0.001,0.6045722860185281,0.6038484492881161,5749,1379
sentence-transformers/LaBSE,english,6,sif_only,0,none,0.001,0.7061330729313252,0.7122990926412616,5749,1379
sentence-transformers/LaBSE,english,6,sif_abtt_fixed,10,fixed,0.001,0.7114544132846292,0.7066148059152149,5749,1379
sentence-transformers/LaBSE,english,6,sif_abtt_optimal,10,train_sweep,0.001,0.7114544132846292,0.7066148059152149,5749,1379
sentence-transformers/LaBSE,english,6,whitening,0,none,0.001,0.664511337785826,0.6573402220236997,5749,1379
sentence-transformers/LaBSE,english,6,variance_filter,0,none,0.001,0.6103544419578885,0.6080544960921661,5749,1379
sentence-transformers/LaBSE,english,7,baseline_mean,0,none,0.001,0.5975936789709739,0.587285156237577,5749,1379
sentence-transformers/LaBSE,english,7,sif_only,0,none,0.001,0.7028224486542517,0.7050171051817545,5749,1379
sentence-transformers/LaBSE,english,7,sif_abtt_fixed,10,fixed,0.001,0.7098819627100896,0.7109710755486989,5749,1379
sentence-transformers/LaBSE,english,7,sif_abtt_optimal,10,train_sweep,0.001,0.7098819627100896,0.7109710755486989,5749,1379
sentence-transformers/LaBSE,english,7,whitening,0,none,0.001,0.6665028204421138,0.6604933464357599,5749,1379
sentence-transformers/LaBSE,english,7,variance_filter,0,none,0.001,0.6049806280543769,0.5959569528392967,5749,1379
sentence-transformers/LaBSE,english,8,baseline_mean,0,none,0.001,0.57565169065675,0.5592165994412538,5749,1379
sentence-transformers/LaBSE,english,8,sif_only,0,none,0.001,0.6877727048469704,0.6927897218856526,5749,1379
sentence-transformers/LaBSE,english,8,sif_abtt_fixed,10,fixed,0.001,0.7067913194044614,0.7062505707028124,5749,1379
sentence-transformers/LaBSE,english,8,sif_abtt_optimal,10,train_sweep,0.001,0.7067913194044614,0.7062505707028124,5749,1379
sentence-transformers/LaBSE,english,8,whitening,0,none,0.001,0.16929328949533848,0.21226778880328098,5749,1379
sentence-transformers/LaBSE,english,8,variance_filter,0,none,0.001,0.587446449438438,0.5710420387781999,5749,1379
sentence-transformers/LaBSE,english,9,baseline_mean,0,none,0.001,0.6086416035493364,0.6044324649050261,5749,1379
sentence-transformers/LaBSE,english,9,sif_only,0,none,0.001,0.7080919710461432,0.7154126133023477,5749,1379
sentence-transformers/LaBSE,english,9,sif_abtt_fixed,10,fixed,0.001,0.7231034672547664,0.7220844839145073,5749,1379
sentence-transformers/LaBSE,english,9,sif_abtt_optimal,10,train_sweep,0.001,0.7231034672547664,0.7220844839145073,5749,1379
sentence-transformers/LaBSE,english,9,whitening,0,none,0.001,0.19107449670964188,0.24493659647271207,5749,1379
sentence-transformers/LaBSE,english,9,variance_filter,0,none,0.001,0.6158849213982152,0.6120630694788999,5749,1379
sentence-transformers/LaBSE,english,10,baseline_mean,0,none,0.001,0.6200352018376855,0.6102573282576864,5749,1379
sentence-transformers/LaBSE,english,10,sif_only,0,none,0.001,0.7161973775028926,0.7185831207458807,5749,1379
sentence-transformers/LaBSE,english,10,sif_abtt_fixed,10,fixed,0.001,0.738087669218926,0.7352622690217425,5749,1379
sentence-transformers/LaBSE,english,10,sif_abtt_optimal,7,train_sweep,0.001,0.738426987233923,0.7372090541755243,5749,1379
sentence-transformers/LaBSE,english,10,whitening,0,none,0.001,0.7037822413264913,0.6953258764082846,5749,1379
sentence-transformers/LaBSE,english,10,variance_filter,0,none,0.001,0.6226296804951554,0.6135752257340611,5749,1379
sentence-transformers/LaBSE,english,11,baseline_mean,0,none,0.001,0.7071231281565444,0.687959803306329,5749,1379
sentence-transformers/LaBSE,english,11,sif_only,0,none,0.001,0.7302763792696046,0.7307055228429687,5749,1379
sentence-transformers/LaBSE,english,11,sif_abtt_fixed,10,fixed,0.001,0.765937389661516,0.7651071142993345,5749,1379
sentence-transformers/LaBSE,english,11,sif_abtt_optimal,5,train_sweep,0.001,0.7745023992312867,0.7766988355076682,5749,1379
sentence-transformers/LaBSE,english,11,whitening,0,none,0.001,0.22816356815446448,0.2822748897784677,5749,1379
sentence-transformers/LaBSE,english,11,variance_filter,0,none,0.001,0.7082389366496951,0.6920282010181288,5749,1379
sentence-transformers/LaBSE,english,12,baseline_mean,0,none,0.001,0.7321798780439166,0.7154388176150409,5749,1379
sentence-transformers/LaBSE,english,12,sif_only,0,none,0.001,0.7534407819291153,0.7448332264203744,5749,1379
sentence-transformers/LaBSE,english,12,sif_abtt_fixed,10,fixed,0.001,0.7730230550778258,0.7741916039083887,5749,1379
sentence-transformers/LaBSE,english,12,sif_abtt_optimal,1,train_sweep,0.001,0.7797056803468454,0.7808570384285306,5749,1379
sentence-transformers/LaBSE,english,12,whitening,0,none,0.001,0.7630725834614321,0.7605614279700927,5749,1379
sentence-transformers/LaBSE,english,12,variance_filter,0,none,0.001,0.7283141347058797,0.712107552176998,5749,1379
sentence-transformers/LaBSE,french,0,baseline_mean,0,none,0.001,0.7372769247742386,0.6999078598347608,600,410
sentence-transformers/LaBSE,french,0,sif_only,0,none,0.001,0.8148773656807614,0.8142403386246881,600,410
sentence-transformers/LaBSE,french,0,sif_abtt_fixed,10,fixed,0.001,0.8579406113257453,0.8635474002495156,600,410
sentence-transformers/LaBSE,french,0,sif_abtt_optimal,7,train_sweep,0.001,0.8651078714260461,0.8656758685640039,600,410
sentence-transformers/LaBSE,french,0,whitening,0,none,0.001,0.8151938595707524,0.8065208832495363,600,410
sentence-transformers/LaBSE,french,0,variance_filter,0,none,0.001,0.7433104341395034,0.7060978189834334,600,410
sentence-transformers/LaBSE,french,1,baseline_mean,0,none,0.001,0.7041638193483114,0.6633758777553324,600,410
sentence-transformers/LaBSE,french,1,sif_only,0,none,0.001,0.7804460026351031,0.7542823089745949,600,410
sentence-transformers/LaBSE,french,1,sif_abtt_fixed,10,fixed,0.001,0.8604456781056883,0.8648756125767659,600,410
sentence-transformers/LaBSE,french,1,sif_abtt_optimal,3,train_sweep,0.001,0.8629584824234797,0.8590741923487265,600,410
sentence-transformers/LaBSE,french,1,whitening,0,none,0.001,0.8122566537524818,0.8009418338054068,600,410
sentence-transformers/LaBSE,french,1,variance_filter,0,none,0.001,0.7002241780439037,0.6580316595269703,600,410
