sentence_1,sentence_2,similarity,split
"- En l'absence d'amélioration comme en cas de persistance des symptômes, prendre un avis médical.","En l'absence d'amélioration comme en cas de persistance des symptômes au-delà de 7 jours de traitement, prenez un avis médical.",3.7,train
"- En l'absence d'amélioration comme en cas de persistance des symptômes, prendre un avis médical.","En l'absence d'amélioration comme en cas de persistance des symptômes, prenez un avis médical.",4.8,test
"- En outre, la patiente sera avertie de la nécessité d'une consultation rapide devant tout saignement vaginal anormal.","En cas de saignement vaginal anormal, il importe de consulter au plus vite votre médecin.",4.3,train
"- L'administration d'huile de paraffine chez les jeunes enfants, les personnes débilitées, allongées ou ayant des difficultés de déglutition doit être prudente en raison du risque d'inhalation bronchique et de pneumopathie lipoïde.","- L'administration d'huile de paraffine chez le jeune enfant, les malades alités ou ayant des difficultés pour avaler doit être prudente car elle peut être à l'origine de passage dans les bronches et de troubles respiratoires.",4.3,test
- Ne pas utiliser chez les personnes présentant des difficultés de déglutition en raison du risque d'inhalation bronchique et de pneumopathie lipoïde.,- Ne pas utiliser chez les personnes présentant des difficultés pour avaler en raison du risque d'inhalation de la paraffine liquide qui entraîne une pneumopathie lipoïde.,4.3,test
- Refermez le flacon immédiatement après utilisation.,Refermez l'embout du flacon avec le bouchon immédiatement après utilisation.,4.2,test
"« Autant que possible, on choisit des biberons en verre ; ceux en métal, en bois ou en caoutchouc, contenant toujours à la longue une odeur plus ou moins forte, plus ou moins fétide, désagréable, repoussante pour l'enfant.","En effet, l'utilisation des biberons en bois, en métal ou encore en caoutchouc dégageait une mauvaise odeur qui faisait que l'enfant le refusait.",2.7,train
"« On appelle ainsi des vases pouvant contenir 150 à 200 grammes de liquide, terminés par un embout particulier qui porte un mamelon artificiel et destinés à l'allaitement des jeunes enfants.","Un biberon (une bouteille, en Suisse), est un outil permettant d'allaiter un bébé artificiellement, ou naturellement, si la mère a tiré son lait.",0.8,train
"1) Traitement curatif de l'ostéodystrophie rénale chez l'urémique (adulte et enfant) avant ou au stade de la dialyse (clairance de la créatinine 30 ml/min/1,73 m2).","- Le traitement curatif de l'ostéodystrophie rénale (troubles osseux liés à l'insuffisance rénale) chez l'adulte ou l'enfant urémique, avant ou au stade de la dialyse.",4.2,train
A conserver à l'abri de l'humidité.,Ce médicament doit être conservé à l'abri de l'humidité.,4.3,train
"A doses élevées, une dépression respiratoire ou des apnées, et une hypothermie peuvent apparaître chez le nouveau-né.","A fortes doses, une insuffisance respiratoire ou des apnées, une baisse de la température centrale du corps (hypothermie) pourraient également survenir chez le nouveau-né.",4.7,test
"À noter cependant que les démons, qui ont tourmenté le saint, ont, dans un premier temps, été représentés par des animaux sauvages (lion, ours, etc.).","Là, comme le Christ, il subit les tentations du Diable.",0.0,train
