example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot,methods_available,query_source,top1_variants,variants_available
1,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,607,609,1231,1234,/u/irowerojas/localLatin/canon/Can.apost.7/BAV1341.7r.1.txt,/u/irowerojas/localLatin/canon/Can.apost.7/Hat42.144v.2.txt,Can.apost.7,Can.apost.7,Can.apost.7,pair_example,1,0.9175854,0.7775392,0,1,correct_similar,1.0,-0.0020126170249441,0.1946246207658969,0.0020126170249441,0.1946246207658969,1.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
2,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,574,575,1158,1159,/u/irowerojas/localLatin/canon/Can.apost.4/Hat42.144r.4.txt,/u/irowerojas/localLatin/canon/Can.apost.4/KoeD213.4v.7.txt,Can.apost.4,Can.apost.4,Can.apost.4,pair_example,1,0.89189756,0.7697736,0,1,correct_similar,1.0,-0.0277004307837942,0.1868590296213351,0.0277004307837942,0.1868590296213351,2.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
3,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,410,411,829,832,/u/irowerojas/localLatin/canon/CORL.511.17/BAV1341.55r.5.txt,/u/irowerojas/localLatin/canon/CORL.511.17/D1723.540.1.txt,CORL.511.17,CORL.511.17,CORL.511.17,pair_example,1,0.8856618,0.7311508,0,1,correct_similar,1.0,-0.0339362091155508,0.1482362330858432,0.0339362091155508,0.1482362330858432,3.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
4,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,318,319,640,645,/u/irowerojas/localLatin/canon/CNEO.315.2/BN2123.98r.9.txt,/u/irowerojas/localLatin/canon/CNEO.315.2/KoeD213.25v.2.txt,CNEO.315.2,CNEO.315.2,CNEO.315.2,pair_example,1,0.8918232,0.7208357,0,1,correct_similar,1.0,-0.0277748173804739,0.1379211128656589,0.0277748173804739,0.1379211128656589,4.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
5,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,581,583,1174,1177,/u/irowerojas/localLatin/canon/Can.apost.42/C1525.7r.4.txt,/u/irowerojas/localLatin/canon/Can.apost.42/Vat5845.10r.1.txt,Can.apost.42,Can.apost.42,Can.apost.42,pair_example,1,0.9135276,0.7162739,0,1,correct_similar,1.0,-0.0060703820319631,0.1333593309824191,0.0060703820319631,0.1333593309824191,5.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
6,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,66,67,133,135,/u/irowerojas/localLatin/canon/CANC.314.22/Brn425.27r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.22/D1723.530.7.txt,CANC.314.22,CANC.314.22,CANC.314.22,pair_example,1,-0.2766897,0.9018514,0,1,correct_similar,1.0,-1.2063379494389097,0.3390373452823965,1.2063379494389097,0.3390373452823965,1.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
7,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,101,102,211,213,/u/irowerojas/localLatin/canon/CANT.328.15/Brn425.35r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/D1723.537.8.txt,CANT.328.15,CANT.328.15,CANT.328.15,pair_example,1,-0.28620812,0.87674725,0,1,correct_similar,1.0,-1.2158563641747038,0.313933180205187,1.2158563641747038,0.313933180205187,2.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
8,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,72,73,145,146,/u/irowerojas/localLatin/canon/CANC.314.24/Brn425.21v.4.txt,/u/irowerojas/localLatin/canon/CANC.314.24/C1525.21v.1.txt,CANC.314.24,CANC.314.24,CANC.314.24,pair_example,1,-0.510594,0.8559413,0,1,correct_similar,1.0,-1.4402422515591184,0.2931272252720205,1.4402422515591184,0.2931272252720205,3.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
9,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,559,560,1120,1123,/u/irowerojas/localLatin/canon/Can.apost.33/BAV1341.7v.3.txt,/u/irowerojas/localLatin/canon/Can.apost.33/KoeD213.7v.3.txt,Can.apost.33,Can.apost.33,Can.apost.33,pair_example,1,-0.23792318,0.85254014,0,1,correct_similar,1.0,-1.167571416302542,0.2897260650318471,1.167571416302542,0.2897260650318471,4.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
10,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,323,324,652,655,/u/irowerojas/localLatin/canon/CNEO.315.4/BAV1341.12v.19.txt,/u/irowerojas/localLatin/canon/CNEO.315.4/KoeD213.25v.4.txt,CNEO.315.4,CNEO.315.4,CNEO.315.4,pair_example,1,-0.35706517,0.8432014,0,1,correct_similar,1.0,-1.2867134122093715,0.2803873284977285,1.2867134122093715,0.2803873284977285,5.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
11,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,101,102,211,213,/u/irowerojas/localLatin/canon/CANT.328.15/Brn425.35r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/D1723.537.8.txt,CANT.328.15,CANT.328.15,CANT.328.15,pair_example,1,0.7850884,0.8958514,0,1,correct_similar,1.0,-0.1897859519450507,0.4335398158835406,0.1897859519450507,0.4335398158835406,1.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
12,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,262,263,532,535,/u/irowerojas/localLatin/canon/CGAN.355.8/Brn425.36r.6.txt,/u/irowerojas/localLatin/canon/CGAN.355.8/Hat42.165r.1.txt,CGAN.355.8,CGAN.355.8,CGAN.355.8,pair_example,1,0.9434382,0.86850476,0,1,correct_similar,1.0,-0.0314361995189033,0.4061932048605914,0.0314361995189033,0.4061932048605914,2.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
13,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,526,527,1040,1041,/u/irowerojas/localLatin/canon/Can.apost.19/C1525.5v.3.txt,/u/irowerojas/localLatin/canon/Can.apost.19/Hat42.146r.1.txt,Can.apost.19,Can.apost.19,Can.apost.19,pair_example,1,0.8956453,0.8367031,0,1,correct_similar,1.0,-0.0792290514437995,0.3743915638731951,0.0792290514437995,0.3743915638731951,3.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
14,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,378,379,769,772,/u/irowerojas/localLatin/canon/CNIC.325.9/Brn425.20r.2.txt,/u/irowerojas/localLatin/canon/CNIC.325.9/Hat42.152v.1.txt,CNIC.325.9,CNIC.325.9,CNIC.325.9,pair_example,1,0.957208,0.8317381,0,1,correct_similar,1.0,-0.0176663940875373,0.3694265565680499,0.0176663940875373,0.3694265565680499,4.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
15,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,66,67,133,135,/u/irowerojas/localLatin/canon/CANC.314.22/Brn425.27r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.22/D1723.530.7.txt,CANC.314.22,CANC.314.22,CANC.314.22,pair_example,1,0.8887751,0.8305083,0,1,correct_similar,1.0,-0.0860992616145454,0.3681967339323992,0.0860992616145454,0.3681967339323992,5.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
16,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,31,32,60,61,/u/irowerojas/localLatin/canon/CANC.314.10/BAV1341.11v.6.txt,/u/irowerojas/localLatin/canon/CANC.314.10/Brn425.23v.4.txt,CANC.314.10,CANC.314.10,CANC.314.10,pair_example,1,0.9836768,0.7874345,0,1,correct_similar,1.0,-0.0012478319244769,0.2648214530106165,0.0012478319244769,0.2648214530106165,1.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
17,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,574,575,1158,1159,/u/irowerojas/localLatin/canon/Can.apost.4/Hat42.144r.4.txt,/u/irowerojas/localLatin/canon/Can.apost.4/KoeD213.4v.7.txt,Can.apost.4,Can.apost.4,Can.apost.4,pair_example,1,0.98263747,0.7776185,0,1,correct_similar,1.0,-0.0022871581154254,0.2550054620857813,0.0022871581154254,0.2550054620857813,2.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
18,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,262,263,532,535,/u/irowerojas/localLatin/canon/CGAN.355.8/Brn425.36r.6.txt,/u/irowerojas/localLatin/canon/CGAN.355.8/Hat42.165r.1.txt,CGAN.355.8,CGAN.355.8,CGAN.355.8,pair_example,1,0.98365784,0.75849414,0,1,correct_similar,1.0,-0.0012667862015155,0.2358810733910181,0.0012667862015155,0.2358810733910181,3.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
19,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,410,411,829,832,/u/irowerojas/localLatin/canon/CORL.511.17/BAV1341.55r.5.txt,/u/irowerojas/localLatin/canon/CORL.511.17/D1723.540.1.txt,CORL.511.17,CORL.511.17,CORL.511.17,pair_example,1,0.9832962,0.7550872,0,1,correct_similar,1.0,-0.0016284075813678,0.2324741315003016,0.0016284075813678,0.2324741315003016,4.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
20,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,532,533,1056,1058,/u/irowerojas/localLatin/canon/Can.apost.21/C1525.5v.5.txt,/u/irowerojas/localLatin/canon/Can.apost.21/KoeD213.6v.4.txt,Can.apost.21,Can.apost.21,Can.apost.21,pair_example,1,0.983641,0.742563,0,1,correct_similar,1.0,-0.0012835947113422,0.2199499439354517,0.0012835947113422,0.2199499439354517,5.0,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark",labelled,,"baseline,abtt,sif,sif_abtt"
